Survey_Priority_ID,Order,Region,WMU,Budget,YearsSinceRevised,RevisedYearLast,TargetYrs,YearProjectedtobeFlown,EOMSD,2019_Priority,Comments,WMUlist.x,AMBI,BISH,MOGO,MOOS,MUDE,PRON,WAPT,WTDE,SL_num,Drawnum,speciesNum,quota,applicants,drawn,minPriority,maxPriority,medPriority,muPriority,drw_cde_list,spp_list,WMUlist.y,GL.Season_Cnt,SL.SeasonCnt,M_Biomass,F_Biomass,YOY_Biomass,Spplist,TotalKill,Total_Biomass,LicenceCount,WMUlist,IntervalFactor
34,34,RDNS,222,23,9,2015,7,2020,OPS,2,,222,,,,1,1,,,1,4,4,2,211,738,211,0,6,0,0,27|33|13|14,MOOS|MUDE,222,2,2,5593.823529,2626.280488,0,MUDE,96.40064562,8220.104017,4,222,7
35,161,RDNS,224,23,5,2019,7,2024,OPS,3,,224,,,,1,1,,,1,4,4,2,275,1695,275,1,5,1,1,27|33|13|14,MOOS|MUDE,224,2,2,1995,1391.25,0,MUDE,40.875,3386.25,5,224,7
36,71,RDNS,226,23,9,2015,7,2021,OPS,2,,226,,,,1,1,,,1,4,4,2,86,456,86,0,4,0,0,27|33|13|14,MOOS|MUDE,226,2,2,1174.545455,2538.801829,120.3125,MUDE,50.81973392,3833.659784,4,226,7
37,72,RDNS,228,23,10,2014,7,2021,OPS,2,CWD Mandatory Zone,228,,,,1,1,,,1,4,4,2,605,1570,606,0,4,0,0,27|33|13|14,MOOS|MUDE,228,2,2,7140.50784,6314.264039,596.0465116,MUDE,176.2042217,14050.81839,4,228,7
38,35,RDNS,230,23,10,2014,5,2020,OPS,2,CWD Mandatory Zone,230,,,,1,1,,,1,4,4,2,760,1847,726,0,4,0,0,27|33|13|14,MOOS|MUDE,230,2,2,9453.658537,6154.193953,1071.369863,MUDE,206.9087036,16679.22235,4,230,5
39,36,RDNS,232,27,14,2010,5,2020,OPS,1,CWD Mandatory Zone,232,,,,1,1,,,1,4,4,2,405,1914,405,0,5,0,0,27|33|13|14,MOOS|MUDE,232,2,2,8572.815696,6302.017738,176.25,MUDE,183.4735355,15051.08343,4,232,5
40,73,RDNS,234,23,3,2021,5,2021,OPS,2,CWD Mandatory Zone,234,,,,1,1,,1,1,4,4,2,1045,2870,1045,0,5,0,0,27|33|13|14,MOOS|MUDE,234,2,2,15150.99,10847.25072,2191.438307,MUDE,354.2891626,28189.67902,4,234,5
41,21,RDNS,236,23,15,2009,7,2020,OPS,1,CWD Mandatory Zone,236,,,,,1,,,1,2,2,1,367,1479,367,0,5,0,0,13|14,MUDE,236,2,2,5860.617115,6756.399051,691.3194444,MUDE,170.7801374,13308.33561,6,236,7
42,162,RDNS,238,23,5,2019,7,2024,OPS,3,CWD Mandatory Zone - flown last year,238,,,,1,1,,,1,4,4,2,303,1937,303,1,7,1,1,27|33|13|14,MOOS|MUDE,238,2,2,4784.868214,4929.395242,681.6393443,MUDE,133.1804085,10395.9028,4,238,7
43,37,RDNS,240,23,4,2020,5,2020,OPS,1,CWD Mandatory Zone,240,,,,1,1,,,1,4,4,2,266,755,266,0,5,0,0,27|33|13|14,MOOS|MUDE,240,2,2,5976.079268,2180,0,MUDE,94.0489547,8156.079268,6,240,5
44,45,RDNS,242,17,4,2020,5,2020,OPS,1,CWD Mandatory Zone,242,,,,1,1,,,1,4,4,2,532,1910,532,0,4,0,0,27|33|13|14,MOOS|MUDE,242,2,2,3312.281283,2873.343496,121.4583333,MUDE,78.12221633,6307.083112,4,242,5
45,157,RDNS,244,17,5,2019,7,2026,OPS,3,,244,,,,1,1,,,1,4,4,2,137,368,137,0,2,0,0,27|33|13|14,MOOS|MUDE,244,2,2,1381.818182,1671.216303,0,MUDE,38.41997316,3053.034485,4,244,7
46,166,RDNS,246,25,5,2019,7,2027,OPS,3,,246,,,,1,1,,,1,4,4,2,132,461,132,0,2,0,0,27|33|13|14,MOOS|MUDE,246,2,2,654.4444444,1844.613821,0,MUDE,33.24051491,2499.058266,4,246,7
47,16,RDNS,248,30,4,2020,7,2020,OPS,1,,248,,,,1,1,,,1,2,2,1,170,267,170,0,1,0,0,27|33,MOOS,248,1,2,73726.94805,34251.96661,9714.581281,MOOS,275.2182913,117693.4959,4,248,7
